№	Полож. [°2θ]	Iнабл [имп]	Iрассчетн [имп]	Iзадн [имп]	ПСО	Межплоскостное расстояние D	ВП [с]
314	8.8969	1826.7860			42.7409	9.9314	97.9200
315	8.9189	1880.5950			43.3658	9.9070	97.9200
316	8.9409	1864.8500			43.1839	9.8826	97.9200
317	8.9629	1835.3650			42.8412	9.8584	97.9200
318	8.9849	1920.7300			43.8261	9.8343	97.9200
319	9.0069	1909.1950			43.6943	9.8104	97.9200
320	9.0289	1907.9210			43.6798	9.7865	97.9200
321	9.0509	1924.7960			43.8725	9.7628	97.9200
322	9.0729	1892.9100			43.5076	9.7392	97.9200
323	9.0949	1843.1140			42.9315	9.7156	97.9200
324	9.1169	1865.2500			43.1885	9.6923	97.9200
325	9.1389	1813.9380			42.5904	9.6690	97.9200
326	9.1609	1832.8920			42.8123	9.6458	97.9200
327	9.1829	1953.7800			44.2016	9.6227	97.9200
328	9.2049	1922.4990			43.8463	9.5998	97.9200
329	9.2269	1948.7240			44.1444	9.5769	97.9200
330	9.2489	1967.3680			44.3550	9.5542	97.9200
331	9.2709	1889.5130			43.4685	9.5316	97.9200
332	9.2929	1913.7020			43.7459	9.5091	97.9200
333	9.3149	1893.9040			43.5190	9.4867	97.9200
334	9.3369	1868.3270			43.2242	9.4644	97.9200
335	9.3589	1862.7320			43.1594	9.4422	97.9200
336	9.3809	1949.5350			44.1535	9.4201	97.9200
337	9.4029	1913.9230			43.7484	9.3981	97.9200
338	9.4249	1893.0380			43.5091	9.3762	97.9200
339	9.4469	1852.8530			43.0448	9.3544	97.9200
340	9.4689	1872.3330			43.2705	9.3327	97.9200
341	9.4909	1916.6740			43.7798	9.3111	97.9200
342	9.5129	1913.4590			43.7431	9.2897	97.9200
343	9.5349	1947.0350			44.1252	9.2683	97.9200
344	9.5569	1962.9860			44.3056	9.2470	97.9200
345	9.5789	1964.3970			44.3215	9.2258	97.9200
346	9.6009	1878.6930			43.3439	9.2047	97.9200
347	9.6229	1905.2740			43.6494	9.1837	97.9200
348	9.6449	1923.9250			43.8626	9.1628	97.9200
349	9.6669	1961.9910			44.2944	9.1420	97.9200
350	9.6889	1971.5250			44.4019	9.1213	97.9200
351	9.7109	2000.7340			44.7296	9.1007	97.9200
352	9.7329	2054.6990			45.3288	9.0802	97.9200
353	9.7549	1993.4260			44.6478	9.0597	97.9200
354	9.7769	2011.5800			44.8506	9.0394	97.9200
355	9.7989	1978.5340			44.4807	9.0191	97.9200
356	9.8209	1972.2420			44.4099	8.9990	97.9200
357	9.8429	2040.3850			45.1706	8.9789	97.9200
358	9.8649	2023.4590			44.9829	8.9590	97.9200
359	9.8869	1985.6030			44.5601	8.9391	97.9200
360	9.9089	2015.0370			44.8892	8.9193	97.9200
361	9.9309	2047.9730			45.2545	8.8996	97.9200
362	9.9529	2045.4440			45.2266	8.8799	97.9200
363	9.9749	2041.4940			45.1829	8.8604	97.9200
364	9.9969	2056.2330			45.3457	8.8410	97.9200
365	10.0189	2142.3570			46.2856	8.8216	97.9200
366	10.0409	2174.9450			46.6363	8.8023	97.9200
367	10.0629	2122.9940			46.0760	8.7831	97.9200
368	10.0849	2094.8620			45.7697	8.7640	97.9200
369	10.1069	2054.4920			45.3265	8.7450	97.9200
370	10.1289	2070.2350			45.4998	8.7260	97.9200
371	10.1509	2093.0000			45.7493	8.7072	97.9200
372	10.1729	2071.7210			45.5162	8.6884	97.9200
373	10.1949	2071.5960			45.5148	8.6697	97.9200
374	10.2169	2044.2500			45.2134	8.6511	97.9200
375	10.2389	2085.8320			45.6709	8.6325	97.9200
376	10.2609	2170.7670			46.5915	8.6141	97.9200
377	10.2829	2255.2790			47.4898	8.5957	97.9200
378	10.3049	2362.3440			48.6039	8.5774	97.9200
379	10.3269	2397.1860			48.9611	8.5592	97.9200
380	10.3489	2444.0320			49.4371	8.5410	97.9200
381	10.3709	2532.3660			50.3226	8.5230	97.9200
382	10.3929	2638.8010			51.3693	8.5050	97.9200
383	10.4149	2734.4810			52.2923	8.4870	97.9200
384	10.4369	2845.1890			53.3403	8.4692	97.9200
385	10.4589	3053.4630			55.2582	8.4514	97.9200
386	10.4809	3143.6940			56.0687	8.4337	97.9200
387	10.5029	3436.3400			58.6203	8.4161	97.9200
388	10.5249	3686.8410			60.7194	8.3986	97.9200
389	10.5469	3928.2320			62.6756	8.3811	97.9200
390	10.5689	4363.3290			66.0555	8.3637	97.9200
391	10.5909	4830.0480			69.4985	8.3464	97.9200
392	10.6129	5429.2380			73.6834	8.3291	97.9200
393	10.6349	5823.4250			76.3114	8.3120	97.9200
394	10.6569	6482.7070			80.5153	8.2949	97.9200
395	10.6789	6754.1540			82.1837	8.2778	97.9200
396	10.7009	7114.5820			84.3480	8.2608	97.9200
397	10.7229	7339.2480			85.6694	8.2439	97.9200
398	10.7449	7738.8080			87.9705	8.2271	97.9200
399	10.7669	8496.3370			92.1756	8.2104	97.9200
400	10.7889	9440.9240			97.1644	8.1937	97.9200
401	10.8109	10606.0500			102.9857	8.1770	97.9200
402	10.8329	10711.4300			103.4960	8.1605	97.9200
