№	Полож. [°2θ]	Iнабл [имп]	Iрассчетн [имп]	Iзадн [имп]	ПСО	Межплоскостное расстояние D	ВП [с]
678	16.9049	2112.5680			45.9627	5.2405	97.9200
679	16.9269	2149.3330			46.3609	5.2338	97.9200
680	16.9489	2191.9540			46.8183	5.2270	97.9200
681	16.9709	2160.4430			46.4806	5.2203	97.9200
682	16.9929	2165.7060			46.5372	5.2136	97.9200
683	17.0149	2154.6180			46.4179	5.2069	97.9200
684	17.0369	2155.9740			46.4325	5.2002	97.9200
685	17.0589	2114.2210			45.9807	5.1936	97.9200
686	17.0809	2059.9040			45.3862	5.1869	97.9200
687	17.1029	2040.8990			45.1763	5.1803	97.9200
688	17.1249	2039.5070			45.1609	5.1737	97.9200
689	17.1469	2073.4690			45.5354	5.1671	97.9200
690	17.1689	2072.4270			45.5239	5.1606	97.9200
691	17.1909	2081.2090			45.6203	5.1540	97.9200
692	17.2129	2091.5870			45.7339	5.1475	97.9200
693	17.2349	2116.4400			46.0048	5.1409	97.9200
694	17.2569	2130.6730			46.1592	5.1344	97.9200
695	17.2789	2069.5010			45.4918	5.1279	97.9200
696	17.3009	1994.1190			44.6556	5.1215	97.9200
697	17.3229	2057.1030			45.3553	5.1150	97.9200
698	17.3449	2067.9180			45.4744	5.1086	97.9200
699	17.3669	2023.9960			44.9888	5.1022	97.9200
700	17.3889	2058.5840			45.3716	5.0958	97.9200
701	17.4109	1998.0430			44.6995	5.0894	97.9200
702	17.4329	2058.5100			45.3708	5.0830	97.9200
703	17.4549	2088.3890			45.6989	5.0766	97.9200
704	17.4769	2042.1410			45.1901	5.0703	97.9200
705	17.4989	2017.2890			44.9142	5.0640	97.9200
706	17.5209	1986.0530			44.5652	5.0577	97.9200
707	17.5429	2000.4220			44.7261	5.0514	97.9200
708	17.5649	2093.0140			45.7495	5.0451	97.9200
709	17.5869	2100.9170			45.8358	5.0388	97.9200
710	17.6089	2074.7130			45.5490	5.0326	97.9200
711	17.6309	2119.8650			46.0420	5.0264	97.9200
712	17.6529	2047.3720			45.2479	5.0201	97.9200
713	17.6749	2071.3420			45.5120	5.0139	97.9200
714	17.6969	2017.4650			44.9162	5.0078	97.9200
715	17.7189	2019.0500			44.9338	5.0016	97.9200
716	17.7409	2014.1780			44.8796	4.9954	97.9200
717	17.7629	2025.4070			45.0045	4.9893	97.9200
718	17.7849	2044.4410			45.2155	4.9832	97.9200
719	17.8069	1981.1770			44.5104	4.9771	97.9200
720	17.8289	2035.6560			45.1182	4.9710	97.9200
721	17.8509	1995.4780			44.6708	4.9649	97.9200
722	17.8729	2047.1910			45.2459	4.9588	97.9200
723	17.8949	2000.1810			44.7234	4.9528	97.9200
724	17.9169	1978.7040			44.4826	4.9468	97.9200
725	17.9389	2069.5680			45.4925	4.9407	97.9200
726	17.9609	2069.0680			45.4870	4.9347	97.9200
727	17.9829	2052.3040			45.3024	4.9288	97.9200
728	18.0049	2053.8070			45.3189	4.9228	97.9200
729	18.0269	2042.6250			45.1954	4.9168	97.9200
730	18.0489	1981.5090			44.5141	4.9109	97.9200
731	18.0709	2014.9810			44.8885	4.9049	97.9200
732	18.0929	2074.1010			45.5423	4.8990	97.9200
733	18.1149	2118.8700			46.0312	4.8931	97.9200
734	18.1369	2051.1400			45.2895	4.8872	97.9200
735	18.1589	2066.7360			45.4614	4.8814	97.9200
736	18.1809	2098.1000			45.8050	4.8755	97.9200
737	18.2029	2039.7480			45.1636	4.8697	97.9200
738	18.2249	1953.4630			44.1980	4.8638	97.9200
739	18.2469	1981.3890			44.5128	4.8580	97.9200
740	18.2689	2032.5190			45.0835	4.8522	97.9200
741	18.2909	1975.2120			44.4434	4.8464	97.9200
742	18.3129	2101.0630			45.8374	4.8407	97.9200
743	18.3349	2031.5590			45.0728	4.8349	97.9200
744	18.3569	2061.2970			45.4015	4.8292	97.9200
745	18.3789	2042.4930			45.1939	4.8234	97.9200
746	18.4009	2071.3930			45.5126	4.8177	97.9200
747	18.4229	2045.2350			45.2243	4.8120	97.9200
748	18.4449	2022.5220			44.9725	4.8063	97.9200
749	18.4669	2070.1940			45.4994	4.8007	97.9200
750	18.4889	2073.4720			45.5354	4.7950	97.9200
751	18.5109	2077.5430			45.5801	4.7893	97.9200
752	18.5329	2078.7520			45.5933	4.7837	97.9200
753	18.5549	2119.8270			46.0416	4.7781	97.9200
754	18.5769	2019.7520			44.9417	4.7725	97.9200
755	18.5989	1987.2090			44.5781	4.7669	97.9200
756	18.6209	2034.0450			45.1004	4.7613	97.9200
757	18.6429	2094.6190			45.7670	4.7557	97.9200
758	18.6649	2038.3890			45.1485	4.7502	97.9200
759	18.6869	2071.0900			45.5092	4.7446	97.9200
760	18.7089	2005.8780			44.7870	4.7391	97.9200
761	18.7309	2044.9740			45.2214	4.7336	97.9200
762	18.7529	2010.3300			44.8367	4.7281	97.9200
763	18.7749	2073.4840			45.5355	4.7226	97.9200
764	18.7969	2078.7540			45.5934	4.7171	97.9200
765	18.8189	2016.5080			44.9055	4.7116	97.9200
766	18.8409	2011.4960			44.8497	4.7062	97.9200
767	18.8629	2043.3740			45.2037	4.7008	97.9200
768	18.8849	2076.3710			45.5672	4.6953	97.9200
769	18.9069	2083.4190			45.6445	4.6899	97.9200
770	18.9289	2050.1560			45.2787	4.6845	97.9200
771	18.9509	2055.5640			45.3383	4.6791	97.9200
772	18.9729	2097.9620			45.8035	4.6737	97.9200
773	18.9949	2066.2660			45.4562	4.6684	97.9200
774	19.0169	2073.1260			45.5316	4.6630	97.9200
775	19.0389	2158.0440			46.4548	4.6577	97.9200
776	19.0609	2110.7270			45.9427	4.6524	97.9200
777	19.0829	2069.9010			45.4962	4.6471	97.9200
778	19.1049	2164.0210			46.5190	4.6418	97.9200
779	19.1269	2156.1330			46.4342	4.6365	97.9200
780	19.1489	2108.4720			45.9181	4.6312	97.9200
781	19.1709	2120.4570			46.0484	4.6259	97.9200
782	19.1929	2102.8250			45.8566	4.6207	97.9200
783	19.2149	2103.2900			45.8616	4.6154	97.9200
784	19.2369	2139.2040			46.2515	4.6102	97.9200
785	19.2589	2130.1890			46.1540	4.6050	97.9200
786	19.2809	2157.5030			46.4489	4.5998	97.9200
787	19.3029	2201.8050			46.9234	4.5946	97.9200
788	19.3249	2151.0790			46.3797	4.5894	97.9200
789	19.3469	2156.6380			46.4396	4.5842	97.9200
790	19.3689	2183.4650			46.7276	4.5791	97.9200
791	19.3909	2246.2140			47.3942	4.5739	97.9200
792	19.4129	2244.0000			47.3709	4.5688	97.9200
793	19.4349	2343.4430			48.4091	4.5637	97.9200
794	19.4569	2403.9110			49.0297	4.5586	97.9200
795	19.4789	2486.1510			49.8613	4.5535	97.9200
796	19.5009	2522.3420			50.2229	4.5484	97.9200
797	19.5229	2643.5520			51.4155	4.5433	97.9200
798	19.5449	2855.8890			53.4405	4.5382	97.9200
799	19.5669	2939.9880			54.2217	4.5332	97.9200
800	19.5889	3036.7990			55.1072	4.5281	97.9200
801	19.6109	3253.3840			57.0384	4.5231	97.9200
802	19.6329	3374.1330			58.0873	4.5181	97.9200
803	19.6549	3580.2060			59.8348	4.5131	97.9200
804	19.6769	3602.4330			60.0203	4.5081	97.9200
805	19.6989	3421.0700			58.4899	4.5031	97.9200
806	19.7209	3074.1580			55.4451	4.4981	97.9200
807	19.7429	2706.9080			52.0280	4.4932	97.9200
808	19.7649	2423.9830			49.2340	4.4882	97.9200
809	19.7869	2290.2590			47.8567	4.4833	97.9200
810	19.8089	2341.4380			48.3884	4.4783	97.9200
811	19.8309	2319.1950			48.1580	4.4734	97.9200
812	19.8529	2377.0510			48.7550	4.4685	97.9200
813	19.8749	2278.0250			47.7287	4.4636	97.9200
814	19.8969	2340.5210			48.3789	4.4587	97.9200
815	19.9189	2426.4280			49.2588	4.4539	97.9200
816	19.9409	2514.6520			50.1463	4.4490	97.9200
817	19.9629	2615.7260			51.1442	4.4441	97.9200
818	19.9849	2836.2900			53.2568	4.4393	97.9200
819	20.0069	2829.8430			53.1963	4.4345	97.9200
820	20.0289	3017.5310			54.9321	4.4296	97.9200
821	20.0509	3248.7440			56.9978	4.4248	97.9200
822	20.0729	3420.0110			58.4809	4.4200	97.9200
823	20.0949	3645.0590			60.3743	4.4152	97.9200
824	20.1169	3666.5860			60.5523	4.4105	97.9200
825	20.1389	3462.6590			58.8444	4.4057	97.9200
826	20.1609	3193.3790			56.5100	4.4009	97.9200
827	20.1829	2868.3280			53.5568	4.3962	97.9200
828	20.2049	2702.0480			51.9812	4.3915	97.9200
829	20.2269	2601.7960			51.0078	4.3867	97.9200
830	20.2489	2547.0750			50.4686	4.3820	97.9200
831	20.2709	2532.4850			50.3238	4.3773	97.9200
832	20.2929	2684.0580			51.8079	4.3726	97.9200
833	20.3149	2686.0270			51.8269	4.3679	97.9200
834	20.3369	2594.2240			50.9335	4.3633	97.9200
835	20.3589	2536.9230			50.3679	4.3586	97.9200
836	20.3809	2461.3670			49.6122	4.3539	97.9200
837	20.4029	2414.5880			49.1385	4.3493	97.9200
838	20.4249	2265.0840			47.5929	4.3446	97.9200
839	20.4469	2224.7060			47.1668	4.3400	97.9200
840	20.4689	2204.1660			46.9485	4.3354	97.9200
841	20.4909	2222.4980			47.1434	4.3308	97.9200
842	20.5129	2165.7360			46.5375	4.3262	97.9200
843	20.5349	2177.2550			46.6611	4.3216	97.9200
844	20.5569	2171.4700			46.5990	4.3170	97.9200
845	20.5789	2194.2760			46.8431	4.3125	97.9200
846	20.6009	2197.9320			46.8821	4.3079	97.9200
847	20.6229	2164.0530			46.5194	4.3034	97.9200
848	20.6449	2217.6950			47.0924	4.2988	97.9200
849	20.6669	2209.0470			47.0005	4.2943	97.9200
850	20.6889	2202.6180			46.9321	4.2898	97.9200
851	20.7109	2218.1050			47.0968	4.2853	97.9200
852	20.7329	2203.2090			46.9384	4.2808	97.9200
853	20.7549	2226.1740			47.1824	4.2763	97.9200
854	20.7769	2206.0760			46.9689	4.2718	97.9200
855	20.7989	2158.3590			46.4581	4.2674	97.9200
856	20.8209	2258.3810			47.5224	4.2629	97.9200
857	20.8429	2362.0990			48.6014	4.2585	97.9200
858	20.8649	2398.7360			48.9769	4.2540	97.9200
859	20.8869	2431.3750			49.3090	4.2496	97.9200
860	20.9089	2515.2880			50.1526	4.2452	97.9200
861	20.9309	2625.7420			51.2420	4.2407	97.9200
862	20.9529	2692.7210			51.8914	4.2363	97.9200
863	20.9749	2790.5000			52.8252	4.2320	97.9200
864	20.9969	2926.1480			54.0939	4.2276	97.9200
865	21.0189	3158.8850			56.2040	4.2232	97.9200
866	21.0409	3414.0420			58.4298	4.2188	97.9200
867	21.0629	3812.2980			61.7438	4.2145	97.9200
868	21.0849	4117.9250			64.1711	4.2101	97.9200
869	21.1069	4433.7260			66.5862	4.2058	97.9200
870	21.1289	5090.5270			71.3479	4.2015	97.9200
871	21.1509	5780.5000			76.0296	4.1971	97.9200
872	21.1729	6324.2260			79.5250	4.1928	97.9200
873	21.1949	7022.7050			83.8016	4.1885	97.9200
874	21.2169	7188.8940			84.7873	4.1842	97.9200
875	21.2389	7017.0690			83.7680	4.1799	97.9200
876	21.2609	6969.2830			83.4822	4.1757	97.9200
877	21.2829	6859.7900			82.8239	4.1714	97.9200
878	21.3049	6430.1390			80.1881	4.1671	97.9200
879	21.3269	5599.2770			74.8283	4.1629	97.9200
880	21.3489	4798.2810			69.2696	4.1587	97.9200
881	21.3709	4164.2200			64.5308	4.1544	97.9200
882	21.3929	3645.7610			60.3801	4.1502	97.9200
883	21.4149	3320.5570			57.6243	4.1460	97.9200
884	21.4369	3356.8880			57.9387	4.1418	97.9200
885	21.4589	3342.4450			57.8139	4.1376	97.9200
886	21.4809	3540.7220			59.5040	4.1334	97.9200
887	21.5029	3694.4720			60.7822	4.1292	97.9200
888	21.5249	4084.3980			63.9093	4.1250	97.9200
889	21.5469	4195.4130			64.7720	4.1209	97.9200
890	21.5689	4539.3360			67.3746	4.1167	97.9200
891	21.5909	4764.1370			69.0227	4.1126	97.9200
892	21.6129	5243.1510			72.4096	4.1084	97.9200
893	21.6349	5823.9720			76.3150	4.1043	97.9200
894	21.6569	6403.2210			80.0201	4.1002	97.9200
895	21.6789	7121.5880			84.3895	4.0961	97.9200
896	21.7009	7580.8130			87.0679	4.0920	97.9200
897	21.7229	7188.8040			84.7868	4.0879	97.9200
898	21.7449	6226.6390			78.9091	4.0838	97.9200
899	21.7669	5397.8580			73.4701	4.0797	97.9200
900	21.7889	4397.9470			66.3170	4.0757	97.9200
901	21.8109	3555.9730			59.6320	4.0716	97.9200
902	21.8329	3260.2080			57.0982	4.0675	97.9200
903	21.8549	2958.0020			54.3875	4.0635	97.9200
904	21.8769	2759.1060			52.5272	4.0595	97.9200
905	21.8989	2678.7780			51.7569	4.0554	97.9200
906	21.9209	2668.7110			51.6596	4.0514	97.9200
907	21.9429	2543.2300			50.4304	4.0474	97.9200
908	21.9649	2472.7130			49.7264	4.0434	97.9200
909	21.9869	2434.2960			49.3386	4.0394	97.9200
910	22.0089	2479.3760			49.7933	4.0354	97.9200
911	22.0309	2462.9240			49.6279	4.0314	97.9200
912	22.0529	2471.3370			49.7125	4.0275	97.9200
913	22.0749	2508.6870			50.0868	4.0235	97.9200
914	22.0969	2599.8520			50.9887	4.0195	97.9200
915	22.1189	2676.3180			51.7331	4.0156	97.9200
916	22.1409	2756.1540			52.4991	4.0116	97.9200
917	22.1629	2811.2250			53.0210	4.0077	97.9200
918	22.1849	2840.2260			53.2938	4.0038	97.9200
919	22.2069	3049.9120			55.2260	3.9999	97.9200
920	22.2289	3120.5040			55.8615	3.9960	97.9200
921	22.2509	3200.3770			56.5719	3.9921	97.9200
922	22.2729	3124.1580			55.8942	3.9882	97.9200
923	22.2949	3020.5650			54.9597	3.9843	97.9200
924	22.3169	2786.1450			52.7839	3.9804	97.9200
925	22.3389	2552.5510			50.5228	3.9765	97.9200
926	22.3609	2396.1080			48.9501	3.9727	97.9200
927	22.3829	2385.7910			48.8446	3.9688	97.9200
928	22.4049	2377.4200			48.7588	3.9650	97.9200
929	22.4269	2379.5680			48.7808	3.9611	97.9200
930	22.4489	2316.8350			48.1335	3.9573	97.9200
931	22.4709	2274.7820			47.6947	3.9535	97.9200
932	22.4929	2265.0930			47.5930	3.9497	97.9200
933	22.5149	2245.9340			47.3913	3.9458	97.9200
934	22.5369	2243.4930			47.3655	3.9420	97.9200
935	22.5589	2271.3030			47.6582	3.9383	97.9200
936	22.5809	2305.8540			48.0193	3.9345	97.9200
937	22.6029	2267.3630			47.6168	3.9307	97.9200
938	22.6249	2246.8330			47.4008	3.9269	97.9200
939	22.6469	2245.7030			47.3888	3.9231	97.9200
940	22.6689	2287.9740			47.8328	3.9194	97.9200
941	22.6909	2236.3010			47.2895	3.9156	97.9200
942	22.7129	2246.6580			47.3989	3.9119	97.9200
943	22.7349	2292.5460			47.8805	3.9082	97.9200
944	22.7569	2305.0280			48.0107	3.9044	97.9200
945	22.7789	2292.6710			47.8818	3.9007	97.9200
946	22.8009	2289.3760			47.8474	3.8970	97.9200
947	22.8229	2346.0500			48.4360	3.8933	97.9200
948	22.8449	2331.7850			48.2886	3.8896	97.9200
949	22.8669	2384.9260			48.8357	3.8859	97.9200
950	22.8889	2415.3730			49.1464	3.8822	97.9200
951	22.9109	2463.4440			49.6331	3.8785	97.9200
952	22.9329	2448.3610			49.4809	3.8749	97.9200
953	22.9549	2387.9350			48.8665	3.8712	97.9200
954	22.9769	2434.9170			49.3449	3.8675	97.9200
955	22.9989	2349.2480			48.4690	3.8639	97.9200
956	23.0209	2383.0100			48.8161	3.8603	97.9200
957	23.0429	2416.0020			49.1528	3.8566	97.9200
958	23.0649	2363.8600			48.6195	3.8530	97.9200
959	23.0869	2377.9930			48.7647	3.8494	97.9200
960	23.1089	2286.2490			47.8147	3.8457	97.9200
961	23.1309	2362.1240			48.6017	3.8421	97.9200
962	23.1529	2470.7940			49.7071	3.8385	97.9200
963	23.1749	2511.4240			50.1141	3.8349	97.9200
964	23.1969	2502.6190			50.0262	3.8314	97.9200
965	23.2189	2623.8920			51.2239	3.8278	97.9200
966	23.2409	2643.4170			51.4142	3.8242	97.9200
967	23.2629	2711.9790			52.0767	3.8206	97.9200
968	23.2849	2714.0310			52.0964	3.8171	97.9200
969	23.3069	2748.9100			52.4300	3.8135	97.9200
970	23.3289	2856.7440			53.4485	3.8100	97.9200
971	23.3509	3029.3290			55.0393	3.8064	97.9200
972	23.3729	3378.5260			58.1251	3.8029	97.9200
973	23.3949	3619.7880			60.1647	3.7994	97.9200
974	23.4169	3814.2470			61.7596	3.7959	97.9200
975	23.4389	4356.3180			66.0024	3.7923	97.9200
976	23.4609	4770.4300			69.0683	3.7888	97.9200
977	23.4829	5499.1500			74.1563	3.7853	97.9200
978	23.5049	6496.7430			80.6024	3.7818	97.9200
979	23.5269	7199.2700			84.8485	3.7784	97.9200
980	23.5489	8259.3890			90.8812	3.7749	97.9200
981	23.5709	9837.4780			99.1841	3.7714	97.9200
982	23.5929	11399.6600			106.7692	3.7679	97.9200
983	23.6149	13087.6400			114.4012	3.7645	97.9200
984	23.6369	14770.3700			121.5334	3.7610	97.9200
985	23.6589	15513.4100			124.5528	3.7576	97.9200
986	23.6809	14464.7500			120.2695	3.7541	97.9200
987	23.7029	13558.2400			116.4399	3.7507	97.9200
988	23.7249	12549.0300			112.0224	3.7473	97.9200
989	23.7469	11929.7800			109.2235	3.7439	97.9200
990	23.7689	11168.7500			105.6823	3.7404	97.9200
991	23.7909	10149.7900			100.7462	3.7370	97.9200
992	23.8129	8829.0460			93.9630	3.7336	97.9200
993	23.8349	7817.6930			88.4177	3.7302	97.9200
994	23.8569	6621.5360			81.3728	3.7268	97.9200
995	23.8789	5531.4650			74.3738	3.7235	97.9200
996	23.9009	4687.8420			68.4678	3.7201	97.9200
997	23.9229	4071.7630			63.8104	3.7167	97.9200
998	23.9449	3642.9830			60.3571	3.7133	97.9200
999	23.9669	3337.8580			57.7742	3.7100	97.9200
1000	23.9889	3075.1190			55.4538	3.7066	97.9200
1001	24.0109	2923.7820			54.0720	3.7033	97.9200
1002	24.0329	2817.6760			53.0818	3.6999	97.9200
1003	24.0549	2725.8640			52.2098	3.6966	97.9200
1004	24.0769	2582.0900			50.8143	3.6933	97.9200
1005	24.0989	2502.6290			50.0263	3.6900	97.9200
1006	24.1209	2509.4970			50.0949	3.6866	97.9200
1007	24.1429	2493.3470			49.9334	3.6833	97.9200
1008	24.1649	2530.6060			50.3051	3.6800	97.9200
1009	24.1869	2529.2830			50.2920	3.6767	97.9200
1010	24.2089	2509.8910			50.0988	3.6734	97.9200
1011	24.2309	2490.4560			49.9045	3.6702	97.9200
1012	24.2529	2458.3240			49.5815	3.6669	97.9200
1013	24.2749	2395.9800			48.9488	3.6636	97.9200
1014	24.2969	2447.8540			49.4758	3.6603	97.9200
1015	24.3189	2528.3870			50.2831	3.6571	97.9200
1016	24.3409	2565.3110			50.6489	3.6538	97.9200
1017	24.3629	2472.4050			49.7233	3.6506	97.9200
1018	24.3849	2475.5000			49.7544	3.6473	97.9200
1019	24.4069	2517.0170			50.1699	3.6441	97.9200
1020	24.4289	2494.2620			49.9426	3.6409	97.9200
1021	24.4509	2615.3010			51.1400	3.6376	97.9200
1022	24.4729	2659.7720			51.5730	3.6344	97.9200
1023	24.4949	2590.6810			50.8987	3.6312	97.9200
1024	24.5169	2580.1960			50.7956	3.6280	97.9200
1025	24.5389	2559.5260			50.5918	3.6248	97.9200
1026	24.5609	2477.5690			49.7752	3.6216	97.9200
1027	24.5829	2402.1950			49.0122	3.6184	97.9200
1028	24.6049	2414.2600			49.1351	3.6152	97.9200
1029	24.6269	2400.6990			48.9969	3.6120	97.9200
1030	24.6489	2449.6340			49.4938	3.6089	97.9200
1031	24.6709	2566.8340			50.6639	3.6057	97.9200
1032	24.6929	2486.3540			49.8634	3.6025	97.9200
1033	24.7149	2538.5520			50.3840	3.5994	97.9200
1034	24.7369	2594.8770			50.9399	3.5962	97.9200
1035	24.7589	2614.7240			51.1344	3.5931	97.9200
1036	24.7809	2658.0620			51.5564	3.5899	97.9200
1037	24.8029	2720.4130			52.1576	3.5868	97.9200
1038	24.8249	2719.3540			52.1474	3.5837	97.9200
1039	24.8469	2545.4570			50.4525	3.5805	97.9200
1040	24.8689	2479.6740			49.7963	3.5774	97.9200
1041	24.8909	2557.4000			50.5707	3.5743	97.9200
1042	24.9129	2530.7110			50.3062	3.5712	97.9200
1043	24.9349	2432.4290			49.3197	3.5681	97.9200
1044	24.9569	2504.6110			50.0461	3.5650	97.9200
1045	24.9789	2552.4510			50.5218	3.5619	97.9200
1046	25.0009	2503.9740			50.0397	3.5588	97.9200
1047	25.0229	2409.2120			49.0837	3.5558	97.9200
1048	25.0449	2412.3750			49.1159	3.5527	97.9200
1049	25.0669	2466.0990			49.6598	3.5496	97.9200
1050	25.0889	2541.7850			50.4161	3.5466	97.9200
1051	25.1109	2497.4750			49.9747	3.5435	97.9200
1052	25.1329	2513.1120			50.1309	3.5404	97.9200
1053	25.1549	2459.1890			49.5902	3.5374	97.9200
1054	25.1769	2488.9290			49.8892	3.5344	97.9200
1055	25.1989	2451.8540			49.5162	3.5313	97.9200
1056	25.2209	2459.6710			49.5951	3.5283	97.9200
1057	25.2429	2441.3920			49.4104	3.5253	97.9200
1058	25.2649	2550.0810			50.4983	3.5222	97.9200
1059	25.2869	2523.2240			50.2317	3.5192	97.9200
1060	25.3089	2580.2430			50.7961	3.5162	97.9200
1061	25.3309	2596.1690			50.9526	3.5132	97.9200
1062	25.3529	2637.3060			51.3547	3.5102	97.9200
1063	25.3749	2675.2750			51.7231	3.5072	97.9200
1064	25.3969	2812.5850			53.0338	3.5042	97.9200
1065	25.4189	2927.6810			54.1080	3.5013	97.9200
1066	25.4409	3026.2540			55.0114	3.4983	97.9200
1067	25.4629	3247.9980			56.9912	3.4953	97.9200
1068	25.4849	3500.9230			59.1686	3.4923	97.9200
1069	25.5069	3693.3850			60.7732	3.4894	97.9200
1070	25.5289	4222.2020			64.9785	3.4864	97.9200
1071	25.5509	4595.6340			67.7911	3.4835	97.9200
1072	25.5729	5042.8290			71.0129	3.4805	97.9200
1073	25.5949	5824.2790			76.3170	3.4776	97.9200
1074	25.6169	6531.0890			80.8152	3.4746	97.9200
1075	25.6389	7368.9250			85.8424	3.4717	97.9200
1076	25.6609	8217.8640			90.6524	3.4688	97.9200
1077	25.6829	8826.8710			93.9514	3.4659	97.9200
1078	25.7049	8922.8700			94.4609	3.4629	97.9200
1079	25.7269	7918.2910			88.9848	3.4600	97.9200
1080	25.7489	6814.3620			82.5492	3.4571	97.9200
1081	25.7709	5953.5020			77.1589	3.4542	97.9200
1082	25.7929	5001.2440			70.7195	3.4513	97.9200
1083	25.8149	4182.1300			64.6694	3.4484	97.9200
1084	25.8369	3566.4420			59.7197	3.4455	97.9200
1085	25.8589	3348.1510			57.8632	3.4427	97.9200
1086	25.8809	3262.4540			57.1179	3.4398	97.9200
1087	25.9029	3332.2450			57.7256	3.4369	97.9200
1088	25.9249	3473.7150			58.9382	3.4340	97.9200
1089	25.9469	3683.3590			60.6907	3.4312	97.9200
1090	25.9689	3930.5580			62.6942	3.4283	97.9200
1091	25.9909	4234.2980			65.0715	3.4255	97.9200
1092	26.0129	4602.3690			67.8408	3.4226	97.9200
1093	26.0349	5082.1160			71.2890	3.4198	97.9200
1094	26.0569	5742.0490			75.7763	3.4170	97.9200
1095	26.0789	6422.3850			80.1398	3.4141	97.9200
1096	26.1009	7137.7140			84.4850	3.4113	97.9200
1097	26.1229	8104.4660			90.0248	3.4085	97.9200
1098	26.1449	9016.2790			94.9541	3.4057	97.9200
1099	26.1669	9402.2030			96.9650	3.4028	97.9200
1100	26.1889	8917.8560			94.4344	3.4000	97.9200
1101	26.2109	7832.2440			88.5000	3.3972	97.9200
1102	26.2329	6681.7970			81.7423	3.3944	97.9200
1103	26.2549	5649.7060			75.1645	3.3916	97.9200
1104	26.2769	4687.0870			68.4623	3.3888	97.9200
1105	26.2989	3975.9810			63.0554	3.3861	97.9200
1106	26.3209	3533.1290			59.4401	3.3833	97.9200
1107	26.3429	3352.6800			57.9023	3.3805	97.9200
1108	26.3649	3244.8890			56.9639	3.3777	97.9200
1109	26.3869	3088.6600			55.5757	3.3750	97.9200
1110	26.4089	3034.9390			55.0903	3.3722	97.9200
1111	26.4309	2946.3980			54.2807	3.3694	97.9200
1112	26.4529	2876.6500			53.6344	3.3667	97.9200
1113	26.4749	2855.6500			53.4383	3.3639	97.9200
1114	26.4969	2758.8880			52.5251	3.3612	97.9200
1115	26.5189	2798.3760			52.8997	3.3585	97.9200
1116	26.5409	2804.7050			52.9595	3.3557	97.9200
1117	26.5629	2680.1770			51.7704	3.3530	97.9200
1118	26.5849	2696.5160			51.9280	3.3503	97.9200
1119	26.6069	2641.8950			51.3994	3.3476	97.9200
1120	26.6289	2629.3200			51.2769	3.3448	97.9200
1121	26.6509	2575.7850			50.7522	3.3421	97.9200
1122	26.6729	2494.1820			49.9418	3.3394	97.9200
1123	26.6949	2456.2360			49.5604	3.3367	97.9200
1124	26.7169	2501.5800			50.0158	3.3340	97.9200
1125	26.7389	2443.8980			49.4358	3.3313	97.9200
1126	26.7609	2391.5930			48.9039	3.3286	97.9200
1127	26.7829	2457.0560			49.5687	3.3260	97.9200
1128	26.8049	2508.4890			50.0848	3.3233	97.9200
1129	26.8269	2499.4420			49.9944	3.3206	97.9200
1130	26.8489	2628.4900			51.2688	3.3179	97.9200
1131	26.8709	2584.7780			50.8407	3.3153	97.9200
1132	26.8929	2695.9560			51.9226	3.3126	97.9200
1133	26.9149	2741.8850			52.3630	3.3099	97.9200
1134	26.9369	2818.1350			53.0861	3.3073	97.9200
1135	26.9589	2924.3720			54.0775	3.3046	97.9200
1136	26.9809	2964.2620			54.4450	3.3020	97.9200
1137	27.0029	3188.3690			56.4656	3.2994	97.9200
1138	27.0249	3403.6850			58.3411	3.2967	97.9200
1139	27.0469	3501.7990			59.1760	3.2941	97.9200
1140	27.0689	3928.7910			62.6801	3.2915	97.9200
1141	27.0909	3995.6350			63.2110	3.2888	97.9200
1142	27.1129	4301.3730			65.5849	3.2862	97.9200
1143	27.1349	4346.5580			65.9284	3.2836	97.9200
1144	27.1569	4059.9730			63.7179	3.2810	97.9200
1145	27.1789	3859.1840			62.1223	3.2784	97.9200
1146	27.2009	3780.6050			61.4866	3.2758	97.9200
1147	27.2229	3720.2950			60.9942	3.2732	97.9200
1148	27.2449	3672.1520			60.5983	3.2706	97.9200
1149	27.2669	3693.9820			60.7781	3.2680	97.9200
1150	27.2889	3745.6240			61.2015	3.2654	97.9200
1151	27.3109	4013.9320			63.3556	3.2628	97.9200
1152	27.3329	4089.9440			63.9527	3.2603	97.9200
1153	27.3549	4008.0610			63.3093	3.2577	97.9200
1154	27.3769	3747.7310			61.2187	3.2551	97.9200
1155	27.3989	3501.2700			59.1715	3.2526	97.9200
1156	27.4209	3270.6670			57.1897	3.2500	97.9200
1157	27.4429	2895.9850			53.8144	3.2474	97.9200
1158	27.4649	2777.8210			52.7050	3.2449	97.9200
1159	27.4869	2654.2860			51.5198	3.2423	97.9200
1160	27.5089	2500.8080			50.0081	3.2398	97.9200
1161	27.5309	2421.8890			49.2127	3.2373	97.9200
1162	27.5529	2350.6860			48.4839	3.2347	97.9200
1163	27.5749	2398.5460			48.9750	3.2322	97.9200
1164	27.5969	2443.8960			49.4358	3.2297	97.9200
1165	27.6189	2453.1270			49.5290	3.2271	97.9200
1166	27.6409	2365.5430			48.6368	3.2246	97.9200
1167	27.6629	2284.5210			47.7967	3.2221	97.9200
1168	27.6849	2352.9010			48.5067	3.2196	97.9200
